date,moduleId,provider,textChars,estimatedCost,outputFile
2026-05-15,4,openai-tts-1-hd,2,0.000060,assets/audio/module-004/vocab-de-slow.mp3
2026-05-15,4,openai-tts-1-hd,2,0.000060,assets/audio/module-004/vocab-de.mp3
2026-05-15,4,openai-tts-1-hd,3,0.000090,assets/audio/module-004/vocab-con-slow.mp3
2026-05-15,4,openai-tts-1-hd,3,0.000090,assets/audio/module-004/vocab-con.mp3
2026-05-15,4,openai-tts-1-hd,3,0.000090,assets/audio/module-004/vocab-sin-slow.mp3
2026-05-15,4,openai-tts-1-hd,3,0.000090,assets/audio/module-004/vocab-sin.mp3
2026-05-15,4,openai-tts-1-hd,4,0.000120,assets/audio/module-004/vocab-pero-slow.mp3
2026-05-15,4,openai-tts-1-hd,4,0.000120,assets/audio/module-004/vocab-pero.mp3
2026-05-15,4,openai-tts-1-hd,7,0.000210,assets/audio/module-004/vocab-tambien-slow.mp3
2026-05-15,4,openai-tts-1-hd,7,0.000210,assets/audio/module-004/vocab-tambien.mp3
2026-05-15,4,openai-tts-1-hd,5,0.000150,assets/audio/module-004/contrast-perro-slow.mp3
2026-05-15,4,openai-tts-1-hd,27,0.000810,assets/audio/module-004/phrase-cafe-con-leche.mp3
2026-05-15,4,openai-tts-1-hd,11,0.000330,assets/audio/module-004/phrase-yo-tambien.mp3
2026-05-15,4,openai-tts-1-hd,22,0.000660,assets/audio/module-004/speaking-frame-quiero-cafe-con-leche.mp3
2026-05-15,4,openai-tts-1-hd,30,0.000900,assets/audio/module-004/speaking-frame-hablo-ingles-pero.mp3
2026-05-15,4,openai-tts-1-hd,22,0.000660,assets/audio/module-004/reading-con-sus-seres.mp3
2026-05-15,4,openai-tts-1-hd,9,0.000270,assets/audio/module-004/reading-sin-miedo.mp3
2026-05-16,1,openai-tts-1-hd,22,0.000660,assets/audio/module-001/vocab-vowels-slow.mp3
2026-05-16,1,openai-tts-1-hd,14,0.000420,assets/audio/module-001/vocab-vowels.mp3
2026-05-16,1,openai-tts-1-hd,12,0.000360,assets/audio/module-001/vocab-enye-slow.mp3
2026-05-16,1,openai-tts-1-hd,12,0.000360,assets/audio/module-001/vocab-enye.mp3
2026-05-16,1,openai-tts-1-hd,18,0.000540,assets/audio/module-001/vocab-ll-slow.mp3
2026-05-16,1,openai-tts-1-hd,18,0.000540,assets/audio/module-001/vocab-ll.mp3
2026-05-16,1,openai-tts-1-hd,26,0.000780,assets/audio/module-001/vocab-h-slow.mp3
2026-05-16,1,openai-tts-1-hd,26,0.000780,assets/audio/module-001/vocab-h.mp3
2026-05-16,1,openai-tts-1-hd,18,0.000540,assets/audio/module-001/vocab-rr-slow.mp3
2026-05-16,1,openai-tts-1-hd,18,0.000540,assets/audio/module-001/vocab-rr.mp3
2026-05-16,1,openai-tts-1-hd,13,0.000390,assets/audio/module-001/phrase-besame-mucho.mp3
2026-05-16,1,openai-tts-1-hd,13,0.000390,assets/audio/module-001/reading-token-besame-mucho.mp3
2026-05-16,1,openai-tts-1-hd,5,0.000150,assets/audio/module-001/reading-token-hola.mp3
2026-05-16,1,openai-tts-1-hd,7,0.000210,assets/audio/module-001/reading-token-besame.mp3
2026-05-16,1,openai-tts-1-hd,7,0.000210,assets/audio/module-001/reading-token-llorar.mp3
2026-05-16,1,openai-tts-1-hd,7,0.000210,assets/audio/module-001/reading-token-hablar.mp3
2026-05-17,5,openai-tts-1-hd,197,0.005910,assets/audio/module-005/m5-vocab-tu.mp3
2026-05-17,5,openai-tts-1-hd,181,0.005430,assets/audio/module-005/m5-vocab-el-ella.mp3
2026-05-17,5,openai-tts-1-hd,158,0.004740,assets/audio/module-005/m5-vocab-nosotros.mp3
2026-05-17,5,openai-tts-1-hd,214,0.006420,assets/audio/module-005/m5-speaking-prompt.mp3
2026-05-17,5,openai-tts-1-hd,758,0.022740,assets/audio/module-005/m5-reading-bomba-estereo.mp3
2026-05-17,5,openai-tts-1-hd,288,0.008640,assets/audio/module-005/m5-lesson-complete.mp3
2026-05-17,5,openai-tts-1-hd,179,0.005370,assets/audio/module-005/m5-vocab-yo.mp3
2026-05-17,5,openai-tts-1-hd,176,0.005280,assets/audio/module-005/m5-vocab-ellos.mp3
2026-05-17,5,openai-tts-1-hd,280,0.008400,assets/audio/module-005/m5-intro-subject-pronouns.mp3
2026-05-17,5,openai-tts-1-hd,176,0.005280,assets/audio/module-005/m5-vocab-ellos.mp3
2026-05-17,5,openai-tts-1-hd,260,0.007800,assets/audio/module-005/m5-phrase-yo-soy-de.mp3
2026-05-17,5,openai-tts-1-hd,179,0.005370,assets/audio/module-005/m5-vocab-yo.mp3
2026-05-17,5,openai-tts-1-hd,433,0.012990,assets/audio/module-005/m5-cultural-note-ivy-queen.mp3
2026-05-18,1,openai,294,0.0088,assets/audio/module-001/m1-intro-alphabet.mp3
2026-05-18,1,openai,323,0.0097,assets/audio/module-001/m1-vocab-vowels.mp3
2026-05-18,1,openai,332,0.0100,assets/audio/module-001/m1-vocab-enye.mp3
2026-05-18,1,openai,355,0.0106,assets/audio/module-001/m1-vocab-ll.mp3
2026-05-18,1,openai,335,0.0100,assets/audio/module-001/m1-vocab-h.mp3
2026-05-18,1,openai,305,0.0092,assets/audio/module-001/m1-reading-intro.mp3
2026-05-18,1,openai,385,0.0115,assets/audio/module-001/m1-lesson-complete.mp3
2026-05-18,1,openai,353,0.0106,assets/audio/module-001/m1-phrase-besame-mucho.mp3
2026-05-18,1,openai,416,0.0125,assets/audio/module-001/m1-vocab-rr.mp3
